Percent Digital Additional Content Revenue,Percent Digital Microtransaction Revenue,Percent Digital Subscription Revenue,Percent Digital Full Game Revenue,region,segment,Platform,title,genre,publisher,developer,Date,month,year,quarter,ARPMAU,MAU - Formatted,Downloads,Retention One Month,Reacquired Users in Month,Digital Full Game Units Sold - Formatted,Digital Full Game Price - Formatted,Digital Full Game Revenue - Formatted,Digital Additional Content Conversion Rate - Formatted,Digital Additional Content ARPPU - Formatted,Digital Additional Content Revenue - Formatted,Digital Season Pass ARPPU - Formatted,Digital Season Pass Conversion Rate - Formatted,Digital Season Pass Revenue - Formatted,Digital Subscribers - Formatted,Digital Subscription Fee - Formatted,Digital Subscription Revenue - Formatted,Digital DLC ARPPU - Formatted,Digital DLC Conversion Rate - Formatted,Digital DLC Revenue - Formatted,Digital Micro AC ARPPU - Formatted,Digital Micro AC Conversion Rate - Formatted,Digital Micro AC Revenue - Formatted,Digital Microtransaction Conversion Rate - Formatted,Digital Microtransaction ARPPU - Formatted,Digital Microtransaction Revenue - Formatted,Digital Total Revenue - Formatted,Ad Revenue,Key Event Text - Formatted,Key Event Type - Formatted,Calc Console Brand Exclusive - Formatted,Calc Free to Play Console - Formatted,Calc Rating Tier - Formatted,Calc Sales Tier - Formatted,Tag Branded IP - Formatted,Tag East vs West - Formatted,Tag Existing IP - Formatted,Tag Open World - Formatted,Tag Primary Mode - Formatted,Tag Production Quality - Formatted,"Export filtered data by clicking here then the 
Download > Crosstab menu button above."
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Dead Island: Epidemic,MOBA,Deep Silver,Stunlock Studios,10/1/2015 0:00,10,2015,Q4,0,"74,617",2508,82.91%,6295,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,F,Small (<$10M),No,Untagged,No,No,Multiplayer,AA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Fortnite: Battle Royale,Shooter,Epic Games,Epic Games,9/1/2017 0:00,9,2017,Q3,0,"2,294,106",2431752,,,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,Unranked,Large (>$100M),No,Untagged,No,No,Multiplayer,AAA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Hawken,Sci-fi,Meteor Entertainment,Adhesive Games,11/1/2017 0:00,11,2017,Q4,0,"22,145",2454,69.94%,920,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,B,Medium (>$10M),No,Untagged,No,No,Multiplayer,AAA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Hawken,Sci-fi,Meteor Entertainment,Adhesive Games,12/1/2017 0:00,12,2017,Q4,0,"23,483",2604,78.95%,3395,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,B,Medium (>$10M),No,Untagged,No,No,Multiplayer,AAA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Hawken,Sci-fi,Meteor Entertainment,Adhesive Games,1/1/2018 0:00,1,2018,Q1,0,"13,811",2167,45.66%,921,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,B,Medium (>$10M),No,Untagged,No,No,Multiplayer,AAA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Magicka: Wizard Wars,MOBA,Paradox Interactive,Paradox North,5/1/2016 0:00,5,2016,Q2,0,"65,794",5729,74.95%,3406,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,C,Small (<$10M),No,Untagged,Yes,No,Multiplayer,AA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Magicka: Wizard Wars,MOBA,Paradox Interactive,Paradox North,6/1/2016 0:00,6,2016,Q2,0,"46,127",5310,56.81%,3438,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,C,Small (<$10M),No,Untagged,Yes,No,Multiplayer,AA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Magicka: Wizard Wars,MOBA,Paradox Interactive,Paradox North,7/1/2016 0:00,7,2016,Q3,0,"36,919",2390,67.24%,3511,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,C,Small (<$10M),No,Untagged,Yes,No,Multiplayer,AA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Mighty Quest for Epic Loot,RPG,Ubisoft,Ubisoft Montreal,9/1/2016 0:00,9,2016,Q3,0,"82,046",9783,85.50%,7943,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,E,Medium (>$10M),No,Untagged,No,No,Multiplayer,AA,
,,,, Region - Worldwide,Free-to-Play PC,All Free-to-Play PC Platforms,Mighty Quest for Epic Loot,RPG,Ubisoft,Ubisoft Montreal,10/1/2016 0:00,10,2016,Q4,0,"86,416",10058,85.78%,5978,,,$0.00 ,,,0,,,$0.00 ,,,$0.00 ,,,$0.00 ,,,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 ,,,,Non Console,No,E,Medium (>$10M),No,Untagged,No,No,Multiplayer,AA,
