appid,Game,Genre,Developer,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Players 2 Weeks,Players Forever
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,Shooter,PUBG Corporation,0,0,17551.14,69794.98,107441.6,139902.24,229701.7,389527.42,660192.74,1086638.87,1334170.09,1436158.51,1584886.77,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,20474542,29493599
730,Counter-Strike: Global Offensive,Shooter,Valve,393109.53,402385.71,386908.72,392199.19,371829.34,374388.04,377589.04,374425.69,354402.09,341861.26,321131.4,340876.88,382030.53,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,10335941,38025319
570,Dota 2,MOBA,Valve,580281.47,591567.25,548435.44,540278.03,567526.42,555289.07,498444.38,556496.3,491450.16,466126.79,487381.24,513074.33,486861.91,"$27,388,716.68 ","$25,929,429.87 ","$25,066,302.49 ","$25,000,040.82 ","$68,384,662.93 ","$60,442,595.95 ","$38,949,473.24 ","$32,029,868.44 ","$31,324,441.90 ","$23,816,465.92 ","$24,749,932.70 ","$22,713,096.94 ",$0 ,9026224,120999006
265590,The Red Solstice,N/A,Ironward,22.2,20.65,10.8,6.97,12.07,10.96,10.46,8.66,6.9,6.24,8.84,14.24,450.72,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,39161,243412
359550,Tom Clancy's Rainbow Six Siege,Shooter,Ubisoft Montreal,20706.7,30568.27,26079.63,24975.95,23804.07,24083.72,28378.64,33923.18,36448.87,31618.81,41483.67,59411.66,63474.82,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,1645529,4206351
624090,Football Manager 2018,N/A,Sports Interactive,0,0,0,0,0,0,0,0,0,0,32008.97,33579.56,38566.36,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,389818,604308
252950,Rocket League,Sports,"Psyonix, Inc.",35232.83,33265.25,33763.69,34683.2,33273.94,32661.75,35005.62,30287.68,31315.43,36249.81,30787.97,35983.93,32583.13,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,1349646,6559337
230410,Warframe,Shooter,Digital Extremes,31734.9,28398.25,30723.66,30576.4,27781.24,25902.03,39002.18,39967.39,37028.11,61908.82,56500.44,51379.97,45177.56,"$4,153,224.10 ","$3,694,751.38 ","$3,625,675.00 ","$4,079,816.69 ","$3,784,747.06 ","$3,571,401.82 ","$3,650,295.28 ","$3,782,634.97 ","$3,654,294.60 ","$6,401,033.60 ","$4,838,762.66 ","$3,650,104.33 ",$0 ,935257,13729638
346110,ARK: Survival Evolved,Survival,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",46440.81,53134.72,41052.97,42206.47,37352.26,47080.74,41812.09,34847.2,43690.15,37636.82,34137.79,46473.28,49018.06,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,594070,5571098
271590,Grand Theft Auto V,Action,Rockstar North,63178.67,53270.99,48616.89,49108.33,42879.64,60285.4,60840.07,54028.65,45842.92,39774.46,41915.16,78066.93,77566.84,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2094985,9531989
440,Team Fortress 2,Shooter,Valve,52436.19,51787.36,49483.19,51733.52,50126.01,52408.06,51861.41,52992.48,50985.18,54963.29,52270.09,51816.11,53432.1,"$10,845,156.82 ","$11,092,604.13 ","$11,065,351.23 ","$11,048,809.38 ","$10,943,223.06 ","$11,037,873.12 ","$10,873,990.06 ","$10,023,018.75 ","$9,413,281.61 ","$10,697,525.74 ","$9,514,188.44 ","$9,029,225.73 ",$0 ,1712589,44388084
8930,Sid Meier's Civilization V,Strategy,"Firaxis Games, Aspyr (Mac, Linux)",29697.68,26701.68,26198.44,25669.6,24436.83,25669.79,27746.32,26170.28,24766.3,24750.09,26682.02,28468.57,28369.91,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,630927,10094065
4000,Garry's Mod,Sandbox,Facepunch Studios,34615.14,31924.18,28481.79,30715.42,27900.38,32517.43,34957.69,34217.31,26093.66,25844.08,26034.59,28716.43,31755.37,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,1163312,13882698
218620,PAYDAY 2,Shooter,OVERKILL - a Starbreeze Studio.,9812.31,10786.49,7164.58,16205.8,8958.99,80779.88,55126.4,41585.08,36370,43218.68,37052.26,36786.11,32810.9,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,808815,12385878
377160,Fallout 4,RPG,Bethesda Game Studios,22809.88,19573.86,16898.9,16846.91,18936.13,21782.84,21692.1,18748.47,18244.29,18719,18367.61,20002.25,20848.84,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,569242,5007999
264710,Subnautica,Survival,Unknown Worlds Entertainment,4007.06,2758.42,2408.37,2468.68,2640.97,2766.71,3282.78,2265.65,2201.58,1866.06,1770.08,2826.41,10573.18,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,688773,1882287
252490,Rust,Survival,Facepunch Studios,33999.91,36403.55,32438.98,28588.81,25380.27,29285.43,29563.1,25558.02,21595.41,25760.5,28147.23,32974,34668.81,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,666505,6278812
289070,Sid Meiers Civilization VI,Strategy,"Firaxis, Aspyr (Mac, Linux)",22798.32,18554.36,17493.03,16457.99,15461.46,14475.75,16390.29,15663.95,14059.3,15183.7,16304.86,20156.27,24494.88,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,609939,2720537
107410,Arma 3,Shooter,Bohemia Interactive,26972.14,23539.08,22288.46,23377.49,20712.67,22154.2,22120.46,17978.11,17987.81,16441.33,16523.87,19255.64,18554.58,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,390842,3658097
444090,Paladins,Shooter,Hi-Rez Studios,23446.78,24781.25,24806.11,24374.63,24569.24,25993.91,25248.16,25029.12,23315.15,20618.15,20194.83,17981.45,20476.93,"$3,997,783.69 ","$3,924,192.78 ","$3,703,173.28 ","$3,725,319.82 ","$3,976,374.06 ","$3,991,649.93 ","$3,833,307.85 ","$3,740,816.02 ","$3,788,682.27 ","$3,525,732.17 ","$3,298,461.40 ","$3,059,160.59 ",$0 ,1123639,13589887
227300,Euro Truck Simulator 2,Simulation,SCS Software,14045.22,11128.42,9640.58,10963,14125.61,12879.98,15847.17,13770.82,12762.26,12165.85,14238.48,21311.87,19978.48,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,856167,4725426
238960,Path of Exile,Action,Grinding Gear Games,16478.72,10793.92,28219.33,17342.3,10923.39,10099.82,9032.2,46477.36,28679.63,14870.82,10933.53,30957.38,26181.87,"$5,858,185.98 ","$5,089,723.55 ","$8,165,016.17 ","$5,557,106.87 ","$3,013,182.94 ","$4,514,805.70 ","$4,392,602.08 ","$17,115,899.06 ","$7,946,895.25 ","$6,234,825.28 ","$6,053,564.71 ","$12,580,304.20 ",$0 ,364479,6263454
10,Counter-Strike,Shooter,Valve,16081.17,15625.86,14311.28,13058.12,12118.87,12147.4,11728.28,11349.85,10718.98,11072.57,12050.49,13736.9,15119.9,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,408503,9976070
594570,Total War: WARHAMMER II,RTS,Creative Assembly,0,0,0,7.45,8.14,10.25,13.95,20.8,4570.96,24376.76,15088.64,10863.53,15057.01,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,327365,639374
105600,Terraria,Sandbox,Re-Logic,19425.38,16403.13,14951.85,16998.39,17108.37,19604.53,23413.09,19588.36,16289.05,16272.83,16630.67,19586.05,20687.97,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,682886,9321339
